Name,Liik,RunDate,Run,Class,SDI,SEI,AWMSI,MSI,MPAR,MPFD,ED,MPE,MPS,NumP,MedPS,PSCoV,TLA
125250_clip,rukkir‰‰k,16.01.2018 15:28:13,37,All,1.690,0.869,1.795,1.635,119.256,1.275,95.872,3345.938,34.900,9.000,27.777,76.617,314.101
123623_clip,rukkir‰‰k,16.01.2018 15:28:13,38,All,1.248,0.775,1.619,1.356,119.600,1.253,73.647,2891.854,39.267,8.000,24.342,109.591,314.132
108029_clip,rukkir‰‰k,16.01.2018 15:28:14,39,All,1.169,0.726,1.633,1.620,105.486,1.273,79.709,3576.817,44.874,7.000,30.834,94.528,314.116
108009_clip,rukkir‰‰k,16.01.2018 15:28:14,40,All,1.591,0.765,1.713,1.657,813.855,1.341,89.731,2562.459,28.557,11.000,24.049,113.515,314.129
107973_clip,rukkir‰‰k,16.01.2018 15:28:14,41,All,1.491,0.832,1.412,1.416,300.508,1.292,86.772,2096.866,24.165,13.000,18.394,101.168,314.147
107952_clip,rukkir‰‰k,16.01.2018 15:28:15,42,All,0.982,0.610,1.369,1.666,332.517,1.310,53.919,2823.132,52.359,6.000,10.105,123.533,314.153
107946_clip,rukkir‰‰k,16.01.2018 15:28:15,43,All,1.419,0.792,2.078,1.805,241.088,1.312,93.046,3653.231,39.263,8.000,18.354,100.852,314.102
107945_clip,rukkir‰‰k,16.01.2018 15:28:15,44,All,1.350,0.974,1.820,1.732,397.386,1.316,83.049,3726.357,44.870,7.000,40.597,81.748,314.087
107943_clip,rukkir‰‰k,16.01.2018 15:28:16,45,All,0.859,0.534,1.800,1.981,339.140,1.334,65.916,4140.734,62.818,5.000,25.975,124.181,314.090
107942_clip,rukkir‰‰k,16.01.2018 15:28:16,46,All,1.482,0.761,1.633,1.522,175.400,1.283,78.232,2730.353,34.901,9.000,12.752,124.269,314.107
107941_clip,rukkir‰‰k,16.01.2018 15:28:17,47,All,1.257,0.781,2.089,1.711,129.763,1.286,92.444,3630.140,39.268,8.000,22.781,120.844,314.147
107940_clip,rukkir‰‰k,16.01.2018 15:28:17,48,All,1.423,0.884,1.944,1.960,561.013,1.347,86.718,3404.918,39.264,8.000,27.411,104.062,314.115
107939_clip,rukkir‰‰k,16.01.2018 15:28:17,49,All,1.333,0.828,1.471,1.519,85.700,1.258,62.373,3919.033,62.832,5.000,38.380,75.962,314.160
102311_clip,rukkir‰‰k,16.01.2018 15:28:18,50,All,1.267,0.914,1.416,1.476,82.320,1.253,60.829,3821.969,62.831,5.000,51.701,65.303,314.156
97341_clip,kirjur‰hn,16.01.2018 21:58:37,1,All,1.085,0.674,1.929,1.850,355.183,1.320,79.318,4152.669,52.355,6.000,41.507,93.541,314.128
89686_clip,kirjur‰hn,16.01.2018 21:58:37,2,All,1.211,0.874,1.656,1.547,70.275,1.253,61.338,4817.061,78.533,4.000,82.326,55.990,314.133
89685_clip,kirjur‰hn,16.01.2018 21:58:38,3,All,0.742,0.675,2.355,2.081,133.325,1.310,76.673,6021.354,78.533,4.000,44.843,105.879,314.131
89684_clip,kirjur‰hn,16.01.2018 21:58:38,4,All,0.397,0.362,1.832,1.762,1320.820,1.414,52.662,3308.532,62.826,5.000,7.533,173.879,314.129
81740_clip,kirjur‰hn,16.01.2018 21:58:38,5,All,1.412,0.726,2.033,1.800,1016.709,1.370,100.011,2856.111,28.558,11.000,9.609,121.528,314.137
81739_clip,kirjur‰hn,16.01.2018 21:58:38,6,All,1.347,0.752,2.204,1.831,327.267,1.322,96.505,3368.399,34.904,9.000,24.606,138.677,314.136
81738_clip,kirjur‰hn,16.01.2018 21:58:39,7,All,1.121,0.697,1.721,1.651,192.271,1.291,79.305,3558.895,44.876,7.000,27.728,83.434,314.131
81737_clip,kirjur‰hn,16.01.2018 21:58:39,8,All,1.518,0.943,1.747,1.503,154.238,1.270,83.504,3278.578,39.262,8.000,34.862,73.041,314.099
78729_clip,kirjur‰hn,16.01.2018 21:58:39,9,All,1.769,0.909,1.641,1.619,220.255,1.297,94.561,2700.484,28.558,11.000,35.416,78.262,314.141
78638_clip,kirjur‰hn,16.01.2018 21:58:39,10,All,1.695,0.815,1.642,1.496,146.500,1.276,86.135,2705.589,31.411,10.000,19.285,107.410,314.109
78637_clip,kirjur‰hn,16.01.2018 21:58:40,11,All,1.645,0.791,1.549,1.602,953.425,1.333,73.991,2905.163,39.264,8.000,30.861,87.575,314.108
78636_clip,kirjur‰hn,16.01.2018 21:58:40,12,All,1.599,0.821,1.560,1.627,125.343,1.276,76.661,3439.999,44.873,7.000,38.958,81.655,314.108
78635_clip,kirjur‰hn,16.01.2018 21:58:40,13,All,1.699,0.948,1.489,1.492,89.686,1.258,75.670,3395.494,44.872,7.000,33.986,59.429,314.105
78045_clip,kirjur‰hn,16.01.2018 21:58:41,14,All,1.237,0.769,1.541,1.420,110.771,1.257,68.770,3086.400,44.880,7.000,24.243,100.258,314.160
77829_clip,kirjur‰hn,16.01.2018 21:58:41,15,All,0.805,0.500,1.583,1.565,223.900,1.295,65.626,2944.644,44.870,7.000,30.150,143.995,314.092
77109_clip,kirjur‰hn,16.01.2018 21:58:41,16,All,1.441,0.741,1.654,1.487,200.292,1.287,99.240,2398.124,24.165,13.000,13.987,98.344,314.144
77085_clip,kirjur‰hn,16.01.2018 21:58:41,17,All,0.888,0.808,2.043,1.822,88.900,1.280,70.405,5528.882,78.530,4.000,40.049,92.452,314.119
73743_clip,kirjur‰hn,16.01.2018 21:58:42,18,All,1.609,0.827,1.857,1.698,218.430,1.302,98.839,3105.113,31.416,10.000,21.789,90.623,314.158
73096_clip,kirjur‰hn,16.01.2018 21:58:42,19,All,1.505,0.773,1.991,1.662,168.320,1.292,102.548,3221.549,31.415,10.000,18.979,93.876,314.150
73094_clip,kirjur‰hn,16.01.2018 21:58:42,20,All,1.851,0.842,1.932,1.762,559.200,1.330,103.212,3242.362,31.415,10.000,18.948,96.060,314.147
73075_clip,kirjur‰hn,16.01.2018 21:58:42,21,All,1.037,0.644,1.720,1.541,184.275,1.285,75.957,2982.775,39.269,8.000,18.210,133.016,314.153
73044_clip,kirjur‰hn,16.01.2018 21:58:43,22,All,1.042,0.647,2.043,1.789,141.200,1.295,80.521,4216.003,52.359,6.000,16.154,110.589,314.155
73042_clip,kirjur‰hn,16.01.2018 21:58:43,23,All,1.355,0.842,1.686,1.474,186.050,1.275,76.265,2994.902,39.270,8.000,28.890,94.194,314.156
68708_clip,kirjur‰hn,16.01.2018 21:58:43,24,All,1.605,0.896,1.588,1.610,141.014,1.278,76.499,3433.163,44.879,7.000,32.375,74.815,314.152
68204_clip,kirjur‰hn,16.01.2018 21:58:43,25,All,1.115,0.693,1.684,1.984,3968.060,1.415,62.522,3928.297,62.831,5.000,26.751,94.497,314.154
66552_clip,kirjur‰hn,16.01.2018 21:58:44,26,All,1.807,0.869,1.540,1.538,211.108,1.291,99.085,2393.981,24.161,13.000,22.030,81.634,314.090
66152_clip,kirjur‰hn,16.01.2018 21:58:44,27,All,1.635,0.786,1.502,1.521,607.100,1.315,80.443,2526.628,31.409,10.000,17.499,107.072,314.091
64820_clip,kirjur‰hn,16.01.2018 21:58:44,28,All,0.964,0.878,2.511,1.955,102.660,1.292,90.009,5655.164,62.829,5.000,32.139,98.129,314.144
64621_clip,kirjur‰hn,16.01.2018 21:58:45,29,All,1.469,0.820,2.352,2.084,738.600,1.362,98.792,4433.645,44.878,7.000,28.106,102.138,314.149
64565_clip,kirjur‰hn,16.01.2018 21:58:45,30,All,1.585,0.721,1.569,1.641,427.075,1.328,89.124,2333.257,26.180,12.000,17.069,120.967,314.159
64118_clip,kirjur‰hn,16.01.2018 21:58:45,31,All,1.276,0.712,1.846,1.553,149.063,1.279,81.961,3218.023,39.263,8.000,15.760,107.033,314.103
64045_clip,kirjur‰hn,16.01.2018 21:58:45,32,All,1.538,0.858,1.647,1.599,3418.560,1.354,86.770,2725.606,31.412,10.000,24.223,99.678,314.117
63984_clip,kirjur‰hn,16.01.2018 21:58:46,33,All,1.049,0.757,1.906,1.759,2134.143,1.398,75.226,3375.650,44.874,7.000,9.802,132.547,314.116
63564_clip,kirjur‰hn,16.01.2018 21:58:46,34,All,1.015,0.631,1.960,1.551,148.143,1.281,73.533,3299.297,44.868,7.000,7.090,154.301,314.077
63505_clip,kirjur‰hn,16.01.2018 21:58:46,35,All,1.146,0.827,1.806,1.691,81.125,1.267,65.740,5161.662,78.517,4.000,78.564,66.379,314.066
63309_clip,kirjur‰hn,16.01.2018 21:58:47,36,All,1.589,0.817,1.450,1.410,101.500,1.255,74.357,2919.984,39.270,8.000,30.964,91.327,314.157
63220_clip,kirjur‰hn,16.01.2018 21:58:47,37,All,1.826,0.878,1.960,1.720,185.150,1.298,103.617,3255.107,31.415,10.000,23.437,101.443,314.147
62987_clip,kirjur‰hn,16.01.2018 21:58:47,38,All,1.209,0.751,1.566,1.571,115.933,1.270,68.291,3575.714,52.360,6.000,40.237,101.142,314.160
62980_clip,kirjur‰hn,16.01.2018 21:58:47,39,All,0.963,0.877,1.351,1.415,55.667,1.232,46.155,4833.355,104.720,3.000,76.628,53.538,314.159
